"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[kit name]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate ID]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[acquisition parameter file]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[inlet type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[run number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Date"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Spectral Data File"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[duration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"M210"	"extraction/derivatization"	"M210"	"BA01-0-1"	"not reported"	""	""	"246605"	""	""	"31"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"30/06/2010"	"BA01-0-1_246605_31_1_1_SAMPLE_245891_M210"	"BA01-0-1_246605_31_0_1_1_00_245891.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_246605"	"BA01-0-1_246605_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M217-1-4"	"extraction/derivatization"	"M217-1-4"	"KIT1-0-5"	"Biocrates p150 Kit"	""	""	"311996"	""	""	"28"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/11/2010"	"KIT1-0-5_311996_28_1_1_SAMPLE_302603_M217-1-4"	"KIT1-0-5_311996_28_0_1_1_00_302603.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-5_311996"	"KIT1-0-5_311996_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M217-1-4"	"extraction/derivatization"	"M217-1-4"	"PG01-0-1"	"not reported"	""	""	"312017"	""	""	"28"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/11/2010"	"PG01-0-1_312017_28_1_1_SAMPLE_302603_M217-1-4"	"PG01-0-1_312017_28_0_1_1_00_302603.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_312017"	"PG01-0-1_312017_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M217-1-4"	"extraction/derivatization"	"M217-1-4"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"86"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"BA01-0-1_306281_86_1_1_SAMPLE_302603_M217-1-4"	"BA01-0-1_306281_86_0_1_1_00_302603.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M217-1-4"	"extraction/derivatization"	"M217-1-4"	"EM01-0-2"	"not reported"	""	""	"306295"	""	""	"86"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-09-16_right.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"16/11/2010"	"EM01-0-2_306295_86_1_1_SAMPLE_302603_M217-1-4"	"EM01-0-2_306295_86_0_1_1_00_302603.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-2_306295"	"EM01-0-2_306295_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2196"	"extraction/derivatization"	"M2196"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"39"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-41_231630_39_1_1_SAMPLE_222733_M2196"	"KIT1-0-41_231630_39_0_1_1_00_222733.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2196"	"extraction/derivatization"	"M2196"	"KIT1-0-3"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"39"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"3"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-3_231630_39_3_1_SAMPLE_222733_M2196"	"KIT1-0-3_231630_39_0_3_1_00_222733.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-3_231630"	"KIT1-0-3_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2196"	"extraction/derivatization"	"M2196"	"PG01-0-1"	"not reported"	""	""	"231657"	""	""	"39"	""	""	"none reported"	""	""	"PG01_QTrap5500_A2B2.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"PG01-0-1_231657_39_1_1_SAMPLE_222733_M2196"	"PG01-0-1_231657_39_0_1_1_00_222733.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231657"	"PG01-0-1_231657_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2196"	"extraction/derivatization"	"M2196"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"39"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"21/05/2010"	"BA01-0-1_231612_39_1_1_SAMPLE_222733_M2196"	"BA01-0-1_231612_39_0_1_1_00_222733.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2196"	"extraction/derivatization"	"M2196"	"EM01-0-1"	"not reported"	""	""	"231626"	""	""	"39"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"EM01-0-1_231626_39_1_1_SAMPLE_222733_M2196"	"EM01-0-1_231626_39_0_1_1_00_222733.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231626"	"EM01-0-1_231626_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2197"	"extraction/derivatization"	"M2197"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"4"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-41_231630_4_1_1_SAMPLE_222747_M2197"	"KIT1-0-41_231630_04_0_1_1_00_222747.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2197"	"extraction/derivatization"	"M2197"	"KIT1-0-3"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"4"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"3"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-3_231630_4_3_1_SAMPLE_222747_M2197"	"KIT1-0-3_231630_04_0_3_1_00_222747.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-3_231630"	"KIT1-0-3_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2197"	"extraction/derivatization"	"M2197"	"PG01-0-1"	"not reported"	""	""	"231657"	""	""	"4"	""	""	"none reported"	""	""	"PG01_QTrap5500_A2B2.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"PG01-0-1_231657_4_1_1_SAMPLE_222747_M2197"	"PG01-0-1_231657_04_0_1_1_00_222747.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231657"	"PG01-0-1_231657_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2197"	"extraction/derivatization"	"M2197"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"4"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"21/05/2010"	"BA01-0-1_231612_4_1_1_SAMPLE_222747_M2197"	"BA01-0-1_231612_04_0_1_1_00_222747.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2197"	"extraction/derivatization"	"M2197"	"EM01-0-1"	"not reported"	""	""	"231626"	""	""	"4"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"EM01-0-1_231626_4_1_1_SAMPLE_222747_M2197"	"EM01-0-1_231626_04_0_1_1_00_222747.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231626"	"EM01-0-1_231626_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2198"	"extraction/derivatization"	"M2198"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"45"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-41_231630_45_1_1_SAMPLE_222751_M2198"	"KIT1-0-41_231630_45_0_1_1_00_222751.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2198"	"extraction/derivatization"	"M2198"	"KIT1-0-3"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"45"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"3"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-3_231630_45_3_1_SAMPLE_222751_M2198"	"KIT1-0-3_231630_45_0_3_1_00_222751.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-3_231630"	"KIT1-0-3_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2198"	"extraction/derivatization"	"M2198"	"PG01-0-1"	"not reported"	""	""	"231657"	""	""	"45"	""	""	"none reported"	""	""	"PG01_QTrap5500_A2B2.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"PG01-0-1_231657_45_1_1_SAMPLE_222751_M2198"	"PG01-0-1_231657_45_0_1_1_00_222751.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231657"	"PG01-0-1_231657_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2198"	"extraction/derivatization"	"M2198"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"45"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"21/05/2010"	"BA01-0-1_231612_45_1_1_SAMPLE_222751_M2198"	"BA01-0-1_231612_45_0_1_1_00_222751.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2198"	"extraction/derivatization"	"M2198"	"EM01-0-1"	"not reported"	""	""	"231626"	""	""	"45"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"21/05/2010"	"EM01-0-1_231626_45_1_1_SAMPLE_222751_M2198"	"EM01-0-1_231626_45_0_1_1_00_222751.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231626"	"EM01-0-1_231626_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2199"	"extraction/derivatization"	"M2199"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"62"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-41_231630_62_1_1_SAMPLE_222764_M2199"	"KIT1-0-41_231630_62_0_1_1_00_222764.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2199"	"extraction/derivatization"	"M2199"	"KIT1-0-3"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"62"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"3"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-3_231630_62_3_1_SAMPLE_222764_M2199"	"KIT1-0-3_231630_62_0_3_1_00_222764.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-3_231630"	"KIT1-0-3_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2199"	"extraction/derivatization"	"M2199"	"PG01-0-1"	"not reported"	""	""	"231657"	""	""	"62"	""	""	"none reported"	""	""	"PG01_QTrap5500_A2B2.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"PG01-0-1_231657_62_1_1_SAMPLE_222764_M2199"	"PG01-0-1_231657_62_0_1_1_00_222764.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231657"	"PG01-0-1_231657_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2199"	"extraction/derivatization"	"M2199"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"62"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"21/05/2010"	"BA01-0-1_231612_62_1_1_SAMPLE_222764_M2199"	"BA01-0-1_231612_62_0_1_1_00_222764.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2199"	"extraction/derivatization"	"M2199"	"EM01-0-1"	"not reported"	""	""	"231626"	""	""	"62"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"EM01-0-1_231626_62_1_1_SAMPLE_222764_M2199"	"EM01-0-1_231626_62_0_1_1_00_222764.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231626"	"EM01-0-1_231626_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2200"	"extraction/derivatization"	"M2200"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"76"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-41_231630_76_1_1_SAMPLE_222778_M2200"	"KIT1-0-41_231630_76_0_1_1_00_222778.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2200"	"extraction/derivatization"	"M2200"	"KIT1-0-3"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"76"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"3"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-3_231630_76_3_1_SAMPLE_222778_M2200"	"KIT1-0-3_231630_76_0_3_1_00_222778.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-3_231630"	"KIT1-0-3_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2200"	"extraction/derivatization"	"M2200"	"PG01-0-1"	"not reported"	""	""	"231657"	""	""	"76"	""	""	"none reported"	""	""	"PG01_QTrap5500_A2B2.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"PG01-0-1_231657_76_1_1_SAMPLE_222778_M2200"	"PG01-0-1_231657_76_0_1_1_00_222778.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231657"	"PG01-0-1_231657_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2200"	"extraction/derivatization"	"M2200"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"76"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"21/05/2010"	"BA01-0-1_231612_76_1_1_SAMPLE_222778_M2200"	"BA01-0-1_231612_76_0_1_1_00_222778.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2200"	"extraction/derivatization"	"M2200"	"EM01-0-1"	"not reported"	""	""	"231626"	""	""	"76"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"EM01-0-1_231626_76_1_1_SAMPLE_222778_M2200"	"EM01-0-1_231626_76_0_1_1_00_222778.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231626"	"EM01-0-1_231626_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2201"	"extraction/derivatization"	"M2201"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"50"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-41_231630_50_1_1_SAMPLE_222781_M2201"	"KIT1-0-41_231630_50_0_1_1_00_222781.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M2201"	"extraction/derivatization"	"M2201"	"KIT1-0-3"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"50"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"3"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-3_231630_50_3_1_SAMPLE_222781_M2201"	"KIT1-0-3_231630_50_0_3_1_00_222781.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-3_231630"	"KIT1-0-3_231630_maf-negative.txt"	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
