"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[kit name]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate ID]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[acquisition parameter file]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[inlet type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[run number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Date"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Spectral Data File"
"M2292"	"extraction/derivatization"	"M2292"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"36"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_36_1_1_SAMPLE_245944_M2292"	"KIT2-0-20_246636_36_0_1_1_00_245944.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"KIT2 L3"	"extraction/derivatization"	"KIT2 L3"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"37"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_37_1_1_STANDARD_L3_200057_KIT2 L3"	"KIT2-0-20_246636_37_0_1_1_02_200057.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1049"	"extraction/derivatization"	"M1049"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"42"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_42_1_1_SAMPLE_246417_M1049"	"KIT2-0-20_246636_42_0_1_1_00_246417.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M601"	"extraction/derivatization"	"M601"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"43"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_43_1_1_SAMPLE_246250_M601"	"KIT2-0-20_246636_43_0_1_1_00_246250.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1063"	"extraction/derivatization"	"M1063"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"40"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_40_1_1_SAMPLE_246229_M1063"	"KIT2-0-20_246636_40_0_1_1_00_246229.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1867"	"extraction/derivatization"	"M1867"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"41"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_41_1_1_SAMPLE_246176_M1867"	"KIT2-0-20_246636_41_0_1_1_00_246176.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2246"	"extraction/derivatization"	"M2246"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"46"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_46_1_1_SAMPLE_246089_M2246"	"KIT2-0-20_246636_46_0_1_1_00_246089.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1381"	"extraction/derivatization"	"M1381"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"47"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_47_1_1_SAMPLE_246294_M1381"	"KIT2-0-20_246636_47_0_1_1_00_246294.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2243"	"extraction/derivatization"	"M2243"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"44"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_44_1_1_SAMPLE_246058_M2243"	"KIT2-0-20_246636_44_0_1_1_00_246058.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1380"	"extraction/derivatization"	"M1380"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"45"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_45_1_1_SAMPLE_246281_M1380"	"KIT2-0-20_246636_45_0_1_1_00_246281.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1082"	"extraction/derivatization"	"M1082"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"51"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_51_1_1_SAMPLE_246316_M1082"	"KIT2-0-20_246636_51_0_1_1_00_246316.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2238"	"extraction/derivatization"	"M2238"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"50"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_50_1_1_SAMPLE_245787_M2238"	"KIT2-0-20_246636_50_0_1_1_00_245787.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"KIT2 L4"	"extraction/derivatization"	"KIT2 L4"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"49"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_49_1_1_STANDARD_L4_200061_KIT2 L4"	"KIT2-0-20_246636_49_0_1_1_02_200061.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2226"	"extraction/derivatization"	"M2226"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"48"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_48_1_1_SAMPLE_222970_M2226"	"KIT2-0-20_246636_48_0_1_1_00_222970.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"QC_1"	"extraction/derivatization"	"QC_1"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"55"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_55_1_1_QC_1_33000362_QC_1"	"KIT2-0-20_246636_55_0_1_1_03_33000362.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1866"	"extraction/derivatization"	"M1866"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"54"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_54_1_1_SAMPLE_246162_M1866"	"KIT2-0-20_246636_54_0_1_1_00_246162.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1061"	"extraction/derivatization"	"M1061"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"53"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_53_1_1_SAMPLE_246201_M1061"	"KIT2-0-20_246636_53_0_1_1_00_246201.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2248"	"extraction/derivatization"	"M2248"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"52"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_52_1_1_SAMPLE_246101_M2248"	"KIT2-0-20_246636_52_0_1_1_00_246101.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1699"	"extraction/derivatization"	"M1699"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"59"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_59_1_1_SAMPLE_246145_M1699"	"KIT2-0-20_246636_59_0_1_1_00_246145.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2027"	"extraction/derivatization"	"M2027"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"58"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_58_1_1_SAMPLE_246479_M2027"	"KIT2-0-20_246636_58_0_1_1_00_246479.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2247"	"extraction/derivatization"	"M2247"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"57"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_57_1_1_SAMPLE_246092_M2247"	"KIT2-0-20_246636_57_0_1_1_00_246092.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2249"	"extraction/derivatization"	"M2249"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"56"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_56_1_1_SAMPLE_246114_M2249"	"KIT2-0-20_246636_56_0_1_1_00_246114.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2265"	"extraction/derivatization"	"M2265"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"63"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_63_1_1_SAMPLE_245913_M2265"	"KIT2-0-20_246636_63_0_1_1_00_245913.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2258"	"extraction/derivatization"	"M2258"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"62"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_62_1_1_SAMPLE_245843_M2258"	"KIT2-0-20_246636_62_0_1_1_00_245843.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"KIT2 L5"	"extraction/derivatization"	"KIT2 L5"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"61"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_61_1_1_STANDARD_L5_200074_KIT2 L5"	"KIT2-0-20_246636_61_0_1_1_02_200074.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2296"	"extraction/derivatization"	"M2296"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"60"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_60_1_1_SAMPLE_245989_M2296"	"KIT2-0-20_246636_60_0_1_1_00_245989.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2266"	"extraction/derivatization"	"M2266"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"68"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_68_1_1_SAMPLE_245927_M2266"	"KIT2-0-20_246636_68_0_1_1_00_245927.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2030"	"extraction/derivatization"	"M2030"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"69"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_69_1_1_SAMPLE_246504_M2030"	"KIT2-0-20_246636_69_0_1_1_00_246504.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M593"	"extraction/derivatization"	"M593"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"70"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_70_1_1_SAMPLE_246448_M593"	"KIT2-0-20_246636_70_0_1_1_00_246448.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1189"	"extraction/derivatization"	"M1189"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"71"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_71_1_1_SAMPLE_246333_M1189"	"KIT2-0-20_246636_71_0_1_1_00_246333.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2259"	"extraction/derivatization"	"M2259"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"64"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_64_1_1_SAMPLE_245857_M2259"	"KIT2-0-20_246636_64_0_1_1_00_245857.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2250"	"extraction/derivatization"	"M2250"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"65"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_65_1_1_SAMPLE_246128_M2250"	"KIT2-0-20_246636_65_0_1_1_00_246128.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2241"	"extraction/derivatization"	"M2241"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"66"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_66_1_1_SAMPLE_246031_M2241"	"KIT2-0-20_246636_66_0_1_1_00_246031.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2240"	"extraction/derivatization"	"M2240"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"67"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_67_1_1_SAMPLE_245809_M2240"	"KIT2-0-20_246636_67_0_1_1_00_245809.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M1999"	"extraction/derivatization"	"M1999"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"76"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-28"	"KIT2-0-20_246636_76_1_1_SAMPLE_246263_M1999"	"KIT2-0-20_246636_76_0_1_1_00_246263.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2221"	"extraction/derivatization"	"M2221"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"77"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_77_1_1_SAMPLE_245992_M2221"	"KIT2-0-20_246636_77_0_1_1_00_245992.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M485"	"extraction/derivatization"	"M485"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"78"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_78_1_1_SAMPLE_246364_M485"	"KIT2-0-20_246636_78_0_1_1_00_246364.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
"M2245"	"extraction/derivatization"	"M2245"	"KIT2-0-20"	"not reported"	""	""	"246636"	""	""	"79"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-06-29"	"KIT2-0-20_246636_79_1_1_SAMPLE_246075_M2245"	"KIT2-0-20_246636_79_0_1_1_00_246075.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_246636"	"KIT2-0-20_246636_maf-positive.txt"
